nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,jenis_usaha
Ichiban Sushi,Jl. Asia Afrika No. 8,Teddy Harsono,Teddy Harsono,Jakarta Pusat,Restoran
Ichiban Sushi,"Jl. Jend.Sudirman, Pintu I Senayan",PT. Brostindo Prima Indonesia,Sumarno Ngadiman,Jakarta Pusat,Restoran
Ichiban Sushi,"Atrium Plaza, Jl. Senen Raya No. 135",PT. Brostindo Prima Indonesia,Bernt Han Lee Ramli,Jakarta Pusat,Restoran
Ichiban Sushi,"Jl. Jend. Sudirman, Pintu I Senayan",PT. Brostindo Prima Indonesia,Sumarno Ngadiman,Jakarta Pusat,Restoran
Ichigo Ichie,"Wisma Kyoei Prince, Jl. Jend.Sudirman Kav. 3-4",PT. Boga Inti Persada,Desmawarudi,Jakarta Pusat,Restoran
Ikan Bakar Cianjur,Jl. Batu Tulis Raya No. 39,PT. Aneka Boga Selaras,Welly Njotowidjojo,Jakarta Pusat,Restoran
Ikan Tude Manado,Jl. Blora No. 28-29,,Jhony Rempas,Jakarta Pusat,Restoran
Ikiya,Jl. Jend. Sudirman Kav.10 No. 86,PT. Indokiya Bersama Pratama,Rufaidah Husni Widodo,Jakarta Pusat,Restoran
Ikkudo Ichi,Grand Indonesia Shopping Mall Unit WM-27 Lt. T,PT. Mie Sukses Kairos,William Surya,Jakarta Pusat,Restoran
Iko Sabana,Jl. Kwitang Raya No. 30 RT001/RW004,PT. Basamo Awak Food,Usman Admadjaja,Jakarta Pusat,Restoran
Immigrant,"Plaza Indonesia, Jl. MH.Thamrin Kav. 28-30",PT. Baresto Mitra Maju,Haryadi Ridwan,Jakarta Pusat,Restoran
Imperial La Mian Xiao Long Bao,"Plaza Indonesia, Jl. MH. Thamrin Kav. 28-30",PT. Istana Noodle House,Abigail Djojonegoro,Jakarta Pusat,Restoran
Imperial La Mian Xiao Long Bao,"Plaza Indonesia, Jl. MH. Thamrin Kav. 28-30",,,Jakarta Pusat,Restoran
Imperial Lamian,"Grand Indonesia Sky Bridge Lt. 3A, Jl. MH. Thamrin",PT. Istana Noodle House,Abigail Djojonegoro,Jakarta Pusat,Restoran
Inul Vizta,"Sarinah, Jl. MH. Thamrin No. 11",PT. Dae Song Constrution,Sung Eui Jea,Jakarta Pusat,Restoran
Inul Vizta,Jl. Senen Raya No. 135,CV. Kosmos Melodi Indah,Rusmiyati,Jakarta Pusat,Restoran
Inul Vizta,"FX Lifestyle Xnter, Jl. Jend. Sudirman, Pintu I Senayan",PT. Yakin Sukses Sejahtera,"Andrey Setiawan, ST",Jakarta Pusat,Restoran
Ippachi Japanese Rest,"Plaza Senayan, Jl. New Delhi No. 9",PT. Ippachi Indonesia,Hari Setiawan,Jakarta Pusat,Restoran
J - Wine,"FX Lifestyle Xnter, Jl. Jend. Sudirman, Pintu I Senayan",PT. Mitra Putera Indonesia,Adji Aftab Rajramdhani,Jakarta Pusat,Restoran
J House,Jl. KH. Mas Mansyur Kav. 24,PT. Mitra Putera Indonesia,Adji Aftab Rajramdhani,Jakarta Pusat,Restoran
Jade Imperial,"Plaza Indonesia Unit L3 #E, Jl. MH. Thamrin No. 28-30",PT. Citra Rasa Ninusa,Juliana Tandiono,Jakarta Pusat,Restoran
Jakarta International Club,Jl. Jend.Sudirman Kav.1 Lt.4,PT. Citanduy Perkasa,Yussuf,Jakarta Pusat,Restoran
Jakarta Wine,"Mal Senayan City, Jl. Asia Afrika Lot. 19",PT. Mitra Putera Indonesia,Adji Aftab Rajramdhani,Jakarta Pusat,Restoran
Java Food Corner,"Gd. Djakarta Theater, Jl. MH. Thamrin No. 9",PT. Java Retailindo,Ferry Lawrentius Hollen,Jakarta Pusat,Restoran
Jill In Marketbar,Grand Indonesia Shopping Town Unit West Mall,PT. Salum foodz,Wawan Setiawan Salum,Jakarta Pusat,Restoran
Jittlada Thai Cuisine,"Mal Senayan City, Jl. Asia Afrika RT001/RW006",,Louis Larry,Jakarta Pusat,Restoran
Jittlada Thai Cuisine,"Grand Indonesia, Jl. MH.Thamrin No. 1",,Louis Larry,Jakarta Pusat,Restoran
Jj Royal Bistro,"Mall Senayan City LG Unit L-06 B1, Jl. Asia Afrika Lot. 19",PT. Legenda Kuliner,Joel Tantyo Laksono Untung,Jakarta Pusat,Restoran
Joni Steak,Jl. Samanhudi No. 65 RT008/RW006,,Joni Samsul Bahri,Jakarta Pusat,Restoran
Jun Njan,Jl. Batu Ceper No. 69,PT. Jun Njan Berjaya Sejahtera,Bong Kristin,Jakarta Pusat,Restoran
Jun Njan Express,"Grand Indonesia, Jl. MH. Thamrin No. 1",PT. Jun Njan Express,Bong Kristin,Jakarta Pusat,Restoran
Kado,"Hotel Intercontinental Mid Plaza, Jl. Jend. Sudirman",PT. Cipta Prima Jaya,Dadi Sunardi,Jakarta Pusat,Restoran
Kado++,Jl. M.H.Thamrin No. 1 West Mall L.3A,PT. Cipta Prima Jaya,Dadi Sunardi,Jakarta Pusat,Restoran
Kafe Betawi,"Mal Senayan City, Jl. Asia Afrika Lot. 19",PT. Citra Rasa Betawi,Johannes Peddy Wongsowidjojo,Jakarta Pusat,Restoran
Kafe Betawi,"Plaza Indonesia, Jl. MH. Thamrin Kav. 28-30",PT. Betawi Citra Rasa,Johannes Peddy Wongsowidjojo,Jakarta Pusat,Restoran
Kafe Domus,Jl. Veteran I No. 30-32,PT. Domus Multi Pesona,Suresh G. Vaswani,Jakarta Pusat,Restoran
Kafe Kalifornia,"Jl. Tinju No. 1, Pintu I Senayan",PT. Senayan Trikarya Sempana,ShuichiOishi,Jakarta Pusat,Restoran
Kafe Victoria,"Plaza Senayan, Jl. Asia Afrika No. 8",PT. Gemafood Masprima,Nyla C. Sutirman,Jakarta Pusat,Restoran
Kaihomaru,"City Walk Sudirman Unit FF#11, Jl. KH. Mas Mansyur",PT. Sanwa Indonesia,Pinnywati Chandra,Jakarta Pusat,Restoran
Kamikaze Kara'age,Jl. MH. Thamrin No. 1,PT. Arbella,Erik,Jakarta Pusat,Restoran
Kamogawa,Jl. KH. Mas Mansyur No. 24,PT. Prima Massa,Tsai Yu O,Jakarta Pusat,Restoran
Kamogawa,Jl. KH. Mas Mansyur No. 24,PT. Prima Massa,Tsai Yu O,Jakarta Pusat,Restoran
Katsura,"Plaza Senayan, Jl. Asia Afrika No. 8",PT. Himber Indonesia,Andrew Himawan,Jakarta Pusat,Restoran
Katsusei,"Grand Indonesia, Jl. MH. Thamrin Kav. 1",PT. Ilham Putra Wicaksana,Daniel Harris,Jakarta Pusat,Restoran
Katsusei,Sentral Senayan I Lt. Basement Unit 10BI & 10B,PT. Ilham Putra Wicaksana,Sylvia Gunawan,Jakarta Pusat,Restoran
Katsusei,"Plaza Indonesia L I/E 19-19A, Jl. MH.Thamrin No. 28-30",PT. Ilham Putra Wicaksana,David Gatot Gunawan,Jakarta Pusat,Restoran
Kedai Clay,Jl. Blora No. 20 RT002/RW006,PT. Citra Putra Realty,Ir. Yudha Bhakti K,Jakarta Pusat,Restoran
Kedai Jakarta,"ITC Mangga Dua, Jl. Mangga Dua Raya",PT. Duta Pertiwi,J.F. Pandelaki,Jakarta Pusat,Restoran
Kedai Tiga Nyonya,Jl. KH. Wahid Hasyim No. 73,PT. Prima Anugerah Sentosa,Tarisa Widya Krisnadi,Jakarta Pusat,Restoran
Kedai Tiga Nyonya,Jl. KH. Wahid Hasyim No. 73,PT. Prima Anugerah Sentosa,Tarisa Widya Krisnadi,Jakarta Pusat,Restoran
Kedai Toean & Njonja,Jl. KH. Wahid Hasyim No. 65,PT. Prima Anugerah Sentosa,Sufun Petrus Batang,Jakarta Pusat,Restoran
Kenny Rogers,"Jl. Jend. Sudirman, Pintu I Senayan",PT. Boga Lestari Sentosa,Budhi Purnama Utomo,Jakarta Pusat,Restoran
Kenny Rogers,"Jl. Jend. Sudirman, Pintu I Senayan",PT. Boga Lestari Sentosa,Budhi Purnama Utomo,Jakarta Pusat,Restoran
Kenny Rogers Roasters,Jl. MH.Thamrin Kav. 28-30,PT.Boga Lestari Sentosa,Budhi Purnama Utomo,Jakarta Pusat,Restoran
Kenny Rogers Roasters,Jl. MH.Thamrin No. 1,PT.Boga Lestari Sentosa,Budi Purnama Utomo,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Plaza Gajah Mada, Jl. Gajah Mada No. 19-26C",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Wisma BNI 46, Jl. Jend. Sudirman Kav. I",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,Jl. Cempaka Putih Raya No. 106,PT. Fast Food Indonesia,Rudy Tanudjaya,Jakarta Pusat,Restoran
Kentucky Fried Chicken,Jl. MH. Thamrin No. 28,PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,Jl. Salemba Raya No. 29 RT001/RW005,PT. Fastfood Indosat,Rudy Tanudjaya S,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Mal Senayan City, Jl. Asia Afrika Lot. 19",PT. Fast Food Indonesia,Rudy Tanudjaya.S,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Gedung Oil Center, Jl. MH. Thamrin Kav. 55",PT. Fastfood Indonesia,Rudi Tanudjaya,Jakarta Pusat,Restoran
Kentucky Fried Chicken,Jl. Tanah Abang II No. 85,PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Ratu Plaza, Jl. Jend. Sudirman No. 9",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Ruko Kenari Mas, Jl. Kramat Raya No. 101",PT. Fast Food Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,Jl. Cikini Raya No. 119,PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Gedung Sarinah, Jl. MH. Thamrin No. 11",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Grand Indonesia, Jl. MH. Thamrin No. 1",PT. Fast Food Indonesia,Rudy Tanudjaya.S,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Golden Trully, Jl. Gunung Sahari No. 56",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,Jl. Hayam Wuruk No. 1,PT. Fast Food Indonesia,Rudy Tanudjaya S.,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Jl. Pasar Baru No. 91, FCU Pasar Baru",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Atrium Plaza, Jl. Senen Raya No. 135",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Mal Mangga Dua, Jl. Mangga Dua Raya",PT.Fastfood Indonesia,Rudy Tanudjaya S,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Plaza Senayan, Jl. New Delhi 9, Pintu I Senayan",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Harco Pasar Baru, Jl. Pasar Baru No. 1-5",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,Arena PRJ Kemayoran,PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Gd. Sarinah, Jl. MH. Thamrin No. 11",PT. Fast Food Indonesia,Rudy Tanudjaya. S,Jakarta Pusat,Restoran
Kentucky Fried Chicken,Jl. Ikhwan Ridwan Rais No. 7B,PT. FAST FOOD INDONESIA,Rudy Tanudjaya. S,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"ITC Cempaka Mas, Jl. Letjen Suprapto",PT. Fast Food Indonesia,Rudy Tanudjaya Saputra,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Stasiun Gambir, Jl. Medan Merdeka Timur",PT. Fast Food Indonesia,Rudy Tanudjaya. S,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"ITC Roxy Mas, Jl. KH. Hasyim Ashari",PT. Fastfood Indonesia,Rudy Tanudjaya S,Jakarta Pusat,Restoran
Kentucky Fried Chicken,"Grand Indonesia, Jl. MH. Thamrin No. 1",PT. Fastfood Indonesia,Rudy Tanudjaya S,Jakarta Pusat,Restoran
Kentucky Fried Chicken ( Kfc ),Jl. Ir. H. Juanda Raya No. 27 RT001/RW002,"PT. Fast Food Indonesia, Tbk",Dalimin Juwono,Jakarta Pusat,Restoran
Kihana,"Plaza Indonesia, Jl. MH.Thamrin Kav. 28-30",PT. Kihana Indonippon Jaya Abadi,Ramon.B.Liando,Jakarta Pusat,Restoran
Killiney Kopitiam,Jl. Asia Afrika Lot. 19,PT. Astha Jaya Visaindo,Eka Constantin Satria Soepardijono,Jakarta Pusat,Restoran
Killiney Kopitiam,Jl. Asia Afrika Lot. 19,PT. Astha Jaya Visaindo,Eka Constantin Satria Soepardijono,Jakarta Pusat,Restoran
Kin No Taki,Jl. Tanjung Karang No. 2,PT. Ryori Nusantara,Arifin Siman,Jakarta Pusat,Restoran
Kin No Taki,Jl. Tanjung Karang No. 2,PT. Ryori Nusantara,Arifin Siman,Jakarta Pusat,Restoran
King Of Thai,Jl.MH.Thamrin Kav. 28-30,PT. Cipta Rasa Prosperindo,Afendy,Jakarta Pusat,Restoran
Kinokawa,"Jl. MH.Thamrin Kav. 3, Kebon Sirih",PT. Adiwira Sempana,Alimansyah Haliman,Jakarta Pusat,Restoran
Kitchen 18,"Plaza BII, Jl. MH. Thamrin No. 51",PT. Cipta Daya Lestari,Andreas Sembiring,Jakarta Pusat,Restoran
Kitchenette,"Senayan City, Jl. Asia Afrika Lot. 19",PT. Kitchenette Lestari,Brian Ivan Sutanto,Jakarta Pusat,Restoran
Kiyadon Sushi,"Grand Indonesia, Jl. MH.Thamrin Kav.1",PT. Kaiten Jaya Abadi,Ramon B Liando,Jakarta Pusat,Restoran
Kiyadon Sushi,"Mal Senayan City, Jl. Asia Afrika Lot. 19",PT. Kaiten Jaya Abadi,Ramon B. Liando,Jakarta Pusat,Restoran
Klub Golf Senayan,"Jl. Asia Afrika, Pintu 9 Senayan",PT. Sinar Kemala Intermetro Golf,J.M. Wantah,Jakarta Pusat,Restoran
Ko Iki,"Plaza Indonesia, Jl. MH. Thamrin Kav. 1",PT. Langgeng Cipta Selera,Rahadhi Arief Rachman,Jakarta Pusat,Restoran
Koji,Jl. MH.Thamrin Kav.3,,Denny Ganda Soedibjo,Jakarta Pusat,Restoran
Komala's Restaurant,"Gedung Sarinah, Jl. MH. Thamrin No. 11",PT. Graha Bhakti Semesta,Gurmeet Singh,Jakarta Pusat,Restoran
Komala's Restaurant,"Jl. MH. Thamrin No. 11, Gedung Sarinah",PT. Graha Bhakti Semesta,Gurmeet Singh,Jakarta Pusat,Restoran
Kopitiam,Jl. MH. Thamrin No. 1,PT. Bagus Kopitiam International,Norman Soelystio,Jakarta Pusat,Restoran
Krekot,Jl. Krekot Bunder No. 14,,Yong Fong Lien,Jakarta Pusat,Restoran
Krispy Kreme,"Grand Indonesia, Jl. MH. Thamrin No. 1",PT. Premier Doughnut Indonesia,Ir. Jusroni,Jakarta Pusat,Restoran
Kuppa Restaurant,Jl. MH. Thamrin Kav. 28-30 Lt. 3,PT. Bina Pilarmas Pacific,Sumartono Mardjuki,Jakarta Pusat,Restoran
Kushi Musubi,"Gd. Citywalk Sudirman Lt. 1 Unit 10, Jl. KH. Mas Mansyur",PT. Musubi Sachi Indonesia,Nakamura Ryuji,Jakarta Pusat,Restoran
Kweetiauw Kerang Singapur,Jl. Teluk Betung No. 28,,Yuli Rahayu,Jakarta Pusat,Restoran
La Finestra Ristorante,Jl. Tanjung Karang No. 5,PT. Meranti Magsaysay,H. MA. Baheramansyah Djayanegara,Jakarta Pusat,Restoran
La Tour D'ebeya,Upper Ground,PT. Pacific Prime Ciusine,Eiko Okubo/Siti Aisja,Jakarta Pusat,Restoran
Lada Merah,Jl. MH. Thamrin Kav. 28 - 30,PT. Naga Merah Perkasa,Dewi Santri Hasan,Jakarta Pusat,Restoran
Lamoda Café,Jl. MH. Thamrin Kav. 28-30,PT. Plaza Indonesia Realty Tbk,Drs. Mohamad Sjohirin,Jakarta Pusat,Restoran
Lan Na Thai,Jl. Dr. Kusuma Atmaja No. 85,PT. Triresto Muliatama,Haidhi Angkawijana,Jakarta Pusat,Restoran
Lara Djonggrang,Jl. Teuku Cik Ditiro No. 4,Melati Tanjungsari,Melati Tanjungsari,Jakarta Pusat,Restoran
Lattice Café,"Deutsche Bank Building, Jl. Imam Bonjol No. 80",PT. Boga Rembilan Sejati,Irene Affandy,Jakarta Pusat,Restoran
Lattice Café,"Deutsche Bank Building, Jl. Imam Bonjol No. 80",PT. Boga Rembilan Sejati,Irene Affandy,Jakarta Pusat,Restoran
Lau's Kopitiam,"Gd. Sarinah, Jl. MH. Thamrin No. 11",Ika Merdekawati Karkam,Ika Merdekawati Karkam,Jakarta Pusat,Restoran
Le Cafe Indonesia,"Jl. Jend. Sudirman, Bundaran Senayan",PT. Le Cafe Indonesia,Michael S. Rotinsulu,Jakarta Pusat,Restoran
Le Vintage Wine & Spirit,"Lotte Mart Ratu Plaza GF, Jl. Jend. Sudirman Kav. 9",PT. Dima Sicily Internasional,Iskandar Budianto,Jakarta Pusat,Restoran
Lintang 28,Jl. KH.Wahid Hasyim No. 74,Andryan Aminoto,Andryan Aminoto,Jakarta Pusat,Restoran
Little Penang,"FX Lifestyle Xnter, Jl. Jend. Sudirman, Pintu I Senayan",PT. Panca Mitrasari Lestari,Sumarno Ngadiman,Jakarta Pusat,Restoran
Little Sheep,"BRI II, Jl. Jend.Sudirman Kav. 42-43 No. 44-46 Lt.7",PT. Prima Selera,Srie Martina,Jakarta Pusat,Restoran
Liyen,Jl. Batu Tulis Raya No. 37,PT. Liyen Indonesia,Muliawan Jahja,Jakarta Pusat,Restoran
Locanda,"Gd. Bank Panin Pusat Lt. Ground, Jl. Jend. Sudirman 1",PT. Trimitra Boga Mandiri,Tonie Hartono Kadi,Jakarta Pusat,Restoran
Lollipop's Playland & Café,"Mal Senayan City, Jl. Asia Afrika Lot. 19",PT. Lollipop Indonesia,Tonie Hartono Kadi,Jakarta Pusat,Restoran
Long Beach Seafood,Jl. Asia Afrika Lt.-07B,PT. Elbe Seafood Indonesia,Milany Terianto,Jakarta Pusat,Restoran
Long Grain,Jl. New Delhi No. 9,PT. Bon Appetit,Agnes Jennifer Tanojo,Jakarta Pusat,Restoran
M. Ramen,"Sentral Senayan, Jl. Asia Afrika No. 8",PT. M. Ramen,Henky Lusli,Jakarta Pusat,Restoran
Mad For Garlic,"Grand Indonesia West Mall, Jl. MH.Thamrin No. 1",PT. Mas Millennium Indonesia,Roni Prananto,Jakarta Pusat,Restoran
Madame Lilys Café,Jl. Teluk Betung No. 41,PT. Credo Boga Makmur,Adhitya Roberto Fransiscus,Jakarta Pusat,Restoran
Madame Lilys Café,"Plaza Indonesia U L4#19 & L4#07A, Jl. MH. Thamrin",PT. Credo Boga Makmur,Adhitya Roberto Fransiscus,Jakarta Pusat,Restoran
Maimo Manado Resto Café,"FX Mall Sudirman Lat. F2/15, Jl. Jend. Sudirman",,Maja Thomas,Jakarta Pusat,Restoran
Makan Point,Jl. Batu Tulis Raya No. 22C,Wahyudi Sumali,Wahyudi Sumali,Jakarta Pusat,Restoran
Mamacita,"Mal Senayan City, Jl. Asia Afrika Lot. 9",PT. Cavallino Mitra Jaya,Tonie Hartono Kadi,Jakarta Pusat,Restoran
Mangia,"Grand Indonesia West Mall, Jl. MH. Thamrin No. 1",PT. Surya Lantar Asanka,Sim Fhiau,Jakarta Pusat,Restoran
Marche,"Plaza Senayan, Jl. Asia Afrika No. 8",PT. Jayafood Indonesia,Ramon Benyamin Liando,Jakarta Pusat,Restoran
Marche Restaurant,"Grand Indonesia, Jl. MH. Thamrin No. 1",PT. Jayafood Indonesia,Ramon Benyamin Liando,Jakarta Pusat,Restoran
Margot,Jl. Jaksa No. 15C,PT. Margot Lestari,Halomoan Tambunan,Jakarta Pusat,Restoran
Mario's Place,Jl. Cikini Raya No. 2-4,PT. Mitratama Panganjaya,Arifin Adam,Jakarta Pusat,Restoran
Marugame Udon & Tempura,"Grand Indonesia, Jl. MH. Thamrin No. 1",PT. Sriboga Marugame Indonesia,Budi Setiawan,Jakarta Pusat,Restoran
Marutama Ra-Men,"Plaza Indonesia, Jl. MH. Thamrin Kav. 13",PT. M Ramen,Henky Rusli,Jakarta Pusat,Restoran
Master Wok,"Mal Senayan City Lt. 5 Unit 5-12, Jl. Asia Afrika Lot. 19",PT. Boga Makmur Wijaya,Kusnadi Rahardja,Jakarta Pusat,Restoran
Master Wok,"Plaza Senayan Lt. 3 Unit 337 C, Jl. Asia Afrika No. 8",PT. Boga Makmur Wijaya,Kusnadi Rahardja,Jakarta Pusat,Restoran
May Star,"Hotel Le Grendeur, Jl. Mangga Dua Raya",PT. Selera Sejahtera,Halim Juhanim,Jakarta Pusat,Restoran
Mc Donalds,"Sarinah, Jl. MH. Thamrin No. 11",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Pusat,Restoran
Mc Donalds,Jl. Hayam Wuruk No. 34-34A,PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Pusat,Restoran
Mc Donald's,"ITC Cempaka Mas, Jl. Letjen. Suprapto",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Pusat,Restoran
Mc Donald's,"ITC Roxy Mas, Jl. KH. Hasyim Ashari No. 27",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Pusat,Restoran
Mc Donald's,"Mal Mangga Dua, Jl. Mangga Dua Raya",PT.Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Pusat,Restoran
Mc Donald's,Jl. Senen Raya No. 135,PT. Rekso Nasional Food,Sukowati Sasrodjojo,Jakarta Pusat,Restoran
Mc Donald's,"Plaza Senayan, Jl. Asia Afrika Unit 3",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Pusat,Restoran
Mc Donald's,Jl. Salemba Raya No. 31,PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Pusat,Restoran
Mc Donald's,"STC Senayan, Jl. Asia Afrika",PT.Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Pusat,Restoran
Mc Donald's,Jl. Salemba Raya No. 31,PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Pusat,Restoran
Mc Donald's,"Dharmala Cikini, Jl. Pegangsaan Timur No. 1A",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Pusat,Restoran
Mc Donald's,Jl. Letjen. Suprapto,PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Pusat,Restoran
Mehbash,Jl. Kebon Kacang Raya No. 6,PT. Ref Sinergi Indonesia,Moh Rif'an,Jakarta Pusat,Restoran
Melly's,Jl. Kebon Sirih Timur Dalam No. 37-39,CV. Melly's Garden & Resto,Melly Saripah,Jakarta Pusat,Restoran
Melly's Garden & Resto,Jl. Wahid Hasyim No. 84-88,,Melly Saripah,Jakarta Pusat,Restoran
Melody House,Jl. Cikini Raya No. 2-4,PT. Daya Kreasi Komunika,Doening Sri Hidayati,Jakarta Pusat,Restoran
Melody House,Jl. Cikini Raya No. 2-4,PT. Daya Kreasi Komunika,Doening Sri Hidayati,Jakarta Pusat,Restoran
Melt,"BRI II Center Park, Jl. Jend. Sudirman Kav. 42-43",PT. Surya Mitra Lestari,Silvester Winarto,Jakarta Pusat,Restoran
Midori,Jl. KH. Wahid Hasyim No. 106,Ir. Hariono,Ir. Hariono,Jakarta Pusat,Restoran
Mikura Sushi & Sake,"Plaza Indonesia, Jl. M.H. Thamrin Kav. 28-30",PT. Andes Abadi,Nishida Emiko,Jakarta Pusat,Restoran
Mikura Sushi & Sake,"Plaza Indonesia, Jl. M.H. Thamrin Kav. 28-30",PT. Andes Abadi,Nishida Emiko,Jakarta Pusat,Restoran
Ming,"Mal Senayan City, Jl. Asia Afrika",PT. Victory Food Nusantara,"Rohmat, SE",Jakarta Pusat,Restoran
Miranda,Jl. Besuki No. 1 A RT003/RW005,Johnny Sardjono,Johnny Sardjono Boedi,Jakarta Pusat,Restoran
Misticanza,"Sahid Sudirman Residence, Jl. Jend.Sudirman ",PT. Karya Indo Selera,Ahmad Akbar,Jakarta Pusat,Restoran
Mitra Oasis Residence,Jl. Senen Raya No. 135-137,PT. Sumbermitra Sarana Realtindo,Azis Chandra,Jakarta Pusat,Restoran
Molly Malone's,"Plaza Arcadia, Jl. New Delhi No. 9",PT. Indoerin,Irene Hanim,Jakarta Pusat,Restoran
Monolog,"Plaza Senayan, Jl. Asia Afrika No. 8 CP. 101B",PT. Gastronomica Indonesia,Haryadi Ridwan,Jakarta Pusat,Restoran
Morrissey,Jl. KH. Wahid Hasyim No. 70,PT. Icon Menara Samudera,Widijoso Sianandar,Jakarta Pusat,Restoran
Mos Burger,Jl. Asia Afrika No. 8,PT.MOG Indonesia,Pinnywati Chandra,Jakarta Pusat,Restoran
Mos Café,Jl. Asia Afrika No. 8,PT. MOG Indonesia,Pinnywati Chandra,Jakarta Pusat,Restoran
Moviez Resto & Coffee,Jl. Jend.Sudirman Kav. 2,PT.Semesta Sari Boga,M.Yusuf C.A,Jakarta Pusat,Restoran
Movina,"Plaza Indonesia, Jl. MH.Thamrin Kav. 28 - 30",PT. Svarna Movina,Vincent Surya Sianandar,Jakarta Pusat,Restoran
Mr. CURRY,Jl. MH. Thamrin No.1 3A Floor,PT. Wamaya Jaya,Brian Ivan Sutanto,Jakarta Pusat,Restoran
Mr. PARK,Jl. MH. Thamrin No. 1,PT. Little City,Sabirin Ariga Chaniago,Jakarta Pusat,Restoran
My Pancake,"Grand Indonesia, Jl. MH.Thamrin No. 1",PT. Prioritas Prima Ideal,Arifin Leo,Jakarta Pusat,Restoran
Nakanakaya,"Gd. STC Senayan Lt. LG No. 106, Jl. Asia Afrika No. 1",PT. Sumiya Boga Lestari,Daniel,Jakarta Pusat,Restoran
Nan Xiang Steamed Bun,"Mal Senayan City, Jl. Asia Afrika Lot. 19",PT. Royal Cuisine Indonesia,Harsono Tjandra,Jakarta Pusat,Restoran
Nan Xiang Steamed Bun-Shanghai,Jl. Jend. Gatot Subroto,PT. Royal Cuisine Indonesia,Harry Prasetya Teo,Jakarta Pusat,Restoran
Nan Xiang Steamed Bun-Shanghai,"The Sultan Hotel, Jl. Jend. Gatot Subroto",PT. Royal Cuisine Indonesia,Harsono Tjandra,Jakarta Pusat,Restoran
Nannini,Jl. MH. Thamrin Kav. 28-30,PT. Marmitria Kafindo Sukses,Caroline Ruth Sumendap,Jakarta Pusat,Restoran
Nannini Grill,Jl. Asia Afrika No. 8,PT. Marmitria Kafindo Sukses,Caroline Ruth Sumendap,Jakarta Pusat,Restoran
Nanny's Pavillon,Jl. Kyai Haji Mas Mansyur No. 21,,Yaman Karyuda,Jakarta Pusat,Restoran
Nasi Uduk Kebon Kacang (Sancang),Jl. Samanhudi No. 12,PT.Usaha Bersaudara Resto,Tommy Djohan,Jakarta Pusat,Restoran
Natrabu,"Jl. KH. Agus Salim No. 29 A, Jl. Sabang ",PT. Natrabu Indah Agung,H. Rahimi Sutan,Jakarta Pusat,Restoran
