nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,jenis_usaha
D' Cost,"Seasons City, Jl. Prof. Dr. Latumenten No. 33",PT. Pendekar Bodoh,David Vincent Marsudi,Jakarta Barat,Restoran
D' Cost,"Ciputra Mal, Jl. Letjend S. Parman",PT. Atcost Beta,David Vincent Marsudi,Jakarta Barat,Restoran
D' Cost,"Gd. House of Blessing, Jl. Lingkar Luar Barat No. 108",PT. Pendekar Bodoh,David Vincent Marsudi,Jakarta Barat,Restoran
D' Cost,"Mal Matahari, Jl. Daan Mogot Raya KM.16",PT. Pendekar Bodoh,David Vincent Marsudi,Jakarta Barat,Restoran
D' Omelette,Jl. Hayam Wuruk No. 126,,Herrijanto Widjaja,Jakarta Barat,Restoran
Da Fu Hao,Jl. Hayam Wuruk No. 72,PT. Banyu Biru Pratama,Liauw Beng Tjoan,Jakarta Barat,Restoran
Dabes Burger,Jl. Hayam Wuruk No. 108,,Royandi Santoso,Jakarta Barat,Restoran
Daniang Dumpling,Jl. Letjen. S.Parman,PT. Daniang Dumpling,Chris Sanjaya,Jakarta Barat,Restoran
Dante Coffee,Jl. Letjen.S.Parman Kav. 28,PT. Royal Jaya Sentral,Rivano Januar Susilo,Jakarta Barat,Restoran
Dante Coffee,Jl. Letjen.S.Parman Kav. 28,PT. Royal Jaya Sentral,Rivano Januar Susilo,Jakarta Barat,Restoran
Dapur Betawi Mpok Juju,Jl. E Ujung No. 8 RT002/RW003,,Hj. Djubaedah,Jakarta Barat,Restoran
Dapur Kuring,Jl. Letjen. S. Parman Kav. 57,,Nursianti Margaret,Jakarta Barat,Restoran
De Rivier,Jl. Kali Besar Barat No. 44 - 46,PT. Wahana Andamari,Drs. Fuad Djapar,Jakarta Barat,Restoran
Delta Raya Pratama,Komplek Mutiara Taman Palem Blok C 1 No. 1,CV. Delta Citra Palma Fortuna,Simon Prasetio Liauw,Jakarta Barat,Restoran
Delta Spa,"Prisma Kedoya Plaza, Jl. Raya Perjuangan",PT. Puri Karya Jaya Sentosa,Simon Prasetio Liauw,Jakarta Barat,Restoran
Depot 369,Jl. Mangga Besar Raya No. 57A,,,Jakarta Barat,Restoran
Dharma Kitchen Indonesia,"Central Park, Jl. Letjen. S.Parman",PT. Dharma Kitchen Indonesia,Toni Widjaja,Jakarta Barat,Restoran
Dharma Kitchen Indonesia,Jl. Letjen. S.Parman,PT. Dharma Kitchen Indonesia,Toni Widjaja,Jakarta Barat,Restoran
Diamond Executive Club,"Pertokoan Glodok Blustru, Jl. Blustru Lt. 7",PT. Diamond Tirtajaya,Kwok Chandra Kusnadi,Jakarta Barat,Restoran
Dian Xiao Er,Jl. Letjen. S.Parman Kav.21,PT. Jaya Indomatrix Abadi,Ramon B Liando,Jakarta Barat,Restoran
Din Tai Fung,"Mal Taman Anggrek, Jl. Letjen. S. Parman",PT. Dhanamakmur Cemerlang,Dendy Sjahada H,Jakarta Barat,Restoran
Dinar,Jl. Lingkar Luar Kamal Blok B17,Sutiati,Sutiati,Jakarta Barat,Restoran
District  7,"Apartemen Westmark, Jl. Tanjung Duren Selatan",-,Robert Marudut Napitupulu,Jakarta Barat,Restoran
Diva,Jl. Tampak Siring Blok KJ No. 9-12,PT. Maritim Nusantara Persada,LISA,Jakarta Barat,Restoran
