nama_lokasi,area,jenis_restaurant,harga,latitude,longitude
"Mercure Jakarta Simatupang, Lantai 19, Jl. RA Kartini No. 18, Lebak Bulus, Jakarta",Jakarta,"Italian, Asian, Western",500000,-6.290898,106.78
"The Hermitage, Jl. Cilacap No. 1, Menteng, Jakarta 10310",Jakarta,"French, Indonesian",800000,-6.19828,106.838072
"Grand Indonesia Mall, East Mall, Lantai Ground, Jl. M.H. Thamrin No. 1, Thamrin, Jakarta",Jakarta,"Western, Asian",400000,-6.196308,106.822356
"Lot 8, Jl. Jenderal Sudirman, SCBD, Jakarta",Jakarta,"Drinks Only, Finger Food",350000,-6.22836955,106.8086173
"Lantai 1-3, Jl. Kebon Sirih No. 59, Menteng, Jakarta",Jakarta,"Peranakan, Malaysian, Singaporean",250000,-6.183679,106.82735
"Plaza Festival, South Parking, Jl. H.R. Rasuna Said, Kuningan, Jakarta",Jakarta,"Cafe, Western",300000,-6.221989538,106.8335542
"Lippo Kuningan, Jl. HR Rasuna Said, Setiabudi, Jakarta",Jakarta,"Asian, Western",320000,-6.217553947,106.8300998
"Hotel Mandarin Oriental, Jakarta, Jl. M. H. Thamrin, Thamrin, Jakarta",Jakarta,"Bakery, Desserts",150000,-6.196107,106.82364
"Plaza Indonesia, Lantai 1, Jl. M. H. Thamrin, Thamrin, Jakarta",Jakarta,"European, Grill, Asian",600000,-6.193415,106.821894
"Jl. Sabang No. 16 B, Thamrin, Jakarta",Jakarta,Cafe,70000,-6.183509,106.824656
"Raffles Jakarta, Jl. Prof. Dr. Satrio No. 3 - 5, Karet, Jakarta",Jakarta,Western,400000,-6.224680938,106.8240189
